GENE_ID	CHR	START	END	GENENAME	MITO_CATEGORY
TCALIF_01361-PA	Chromosome_1	10195875	10204688	Slc25a32 Mitochondrial folate transporter/carrier (Mus musculus)	
TCALIF_01397-PA	Chromosome_1	10570799	10575186	"Mccc2 Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial (Rattus norvegicus)"	
TCALIF_01417-PA	Chromosome_1	10796329	10800027	RPUSD2 RNA pseudouridylate synthase domain-containing protein 2 (Homo sapiens)	
TCALIF_02460-PA	Chromosome_1	1388597	1390475	"Roe1 GrpE protein homolog, mitochondrial (Drosophila melanogaster)"	
TCALIF_02461-PA	Chromosome_1	1366917	1384425	Carkd ATP-dependent (S)-NAD(P)H-hydrate dehydratase (Mus musculus)	
TCALIF_02495-PA	Chromosome_1	1076588	1078296	"NUDT9 ADP-ribose pyrophosphatase, mitochondrial (Homo sapiens)"	
TCALIF_02504-PA	Chromosome_1	976636	983653	NTHL1 Endonuclease III-like protein 1 (Bos taurus)	
TCALIF_02510-PA	Chromosome_1	861606	896179	SLC25A10 Mitochondrial dicarboxylate carrier (Homo sapiens)	
TCALIF_03022-PA	Chromosome_1	7320495	7328394	DNA-ligI DNA ligase 1 (Drosophila melanogaster)	
TCALIF_03052-PA	Chromosome_1	7005074	7012797	slc25a42 Mitochondrial coenzyme A transporter SLC25A42 (Xenopus laevis)	
TCALIF_03214-PA	Chromosome_1	12734052	12734666	"ISOC2 Isochorismatase domain-containing protein 2, mitochondrial (Macaca fascicularis)"	
TCALIF_03216-PA	Chromosome_1	12748443	12752979	cox12 Cytochrome c oxidase subunit 6B (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	Comp-IV
TCALIF_03251-PA	Chromosome_1	13082520	13084151	"PYCR1 Pyrroline-5-carboxylate reductase 1, mitochondrial (Bos taurus)"	
TCALIF_03266-PA	Chromosome_1	15238434	15249519	"MRPL27 39S ribosomal protein L27, mitochondrial (Homo sapiens)"	mRP
TCALIF_03278-PA	Chromosome_1	15070895	15071731	Nipsnap Protein NipSnap (Drosophila melanogaster)	
TCALIF_03780-PA	Chromosome_1	11926673	11931448	aralar1 Calcium-binding mitochondrial carrier protein Aralar1 (Drosophila melanogaster)	
TCALIF_03805-PA	Chromosome_1	11657267	11665160	"Gdh Glutamate dehydrogenase, mitochondrial (Drosophila melanogaster)"	
TCALIF_03814-PA	Chromosome_1	11587015	11590186	SLC25A15 Mitochondrial ornithine transporter 1 (Homo sapiens)	
TCALIF_04097-PA	Chromosome_1	5142322	5165271	"LACTB Serine beta-lactamase-like protein LACTB, mitochondrial (Homo sapiens)"	
TCALIF_04118-PA	Chromosome_1	4878855	4883958	"Mtfmt Methionyl-tRNA formyltransferase, mitochondrial (Mus musculus)"	
TCALIF_04120-PA	Chromosome_1	6465851	6475193	Putative ATPase N2B (Haematobia irritans)	
TCALIF_04131-PA	Chromosome_1	6348124	6357120	"mtacp1 Acyl carrier protein, mitochondrial (Drosophila melanogaster)"	
TCALIF_04140-PA	Chromosome_1	6250773	6251425	Rfk Riboflavin kinase (Mus musculus)	
TCALIF_04149-PA	Chromosome_1	6204263	6206237	Ppme1 Protein phosphatase methylesterase 1 (Mus musculus)	
TCALIF_04156-PA	Chromosome_1	6174373	6176168	"HIBADH 3-hydroxyisobutyrate dehydrogenase, mitochondrial (Homo sapiens)"	
TCALIF_04664-PA	Chromosome_1	1943286	1946340	"mRpL45 Probable 39S ribosomal protein L45, mitochondrial (Drosophila melanogaster)"	mRP
TCALIF_05071-PA	Chromosome_1	9762731	9766354	"PDF Peptide deformylase, mitochondrial (Homo sapiens)"	
TCALIF_05074-PA	Chromosome_1	9793527	9798551	"Aldh5a1 Succinate-semialdehyde dehydrogenase, mitochondrial (Rattus norvegicus)"	
TCALIF_06837-PA	Chromosome_1	8307631	8309423	NDUFA6 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 (Pongo pygmaeus)	Comp-I
TCALIF_07235-PA	Chromosome_1	5650042	5669865	MTX2 Metaxin-2 (Sus scrofa)	
TCALIF_07244-PA	Chromosome_1	5750115	5752468	"Pdhb Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (Mus musculus)"	
TCALIF_07255-PA	Chromosome_1	5933701	5936711	"Aco2 Aconitate hydratase, mitochondrial (Rattus norvegicus)"	
TCALIF_07473-PA	Chromosome_1	1553536	1557257	"tmem11-a Transmembrane protein 11-A, mitochondrial (Xenopus laevis)"	
TCALIF_07477-PA	Chromosome_1	1567549	1569435	"PTCD1 Pentatricopeptide repeat-containing protein 1, mitochondrial (Pongo abelii)"	
TCALIF_07667-PA	Chromosome_1	15290716	15301416	"Mtpap Poly(A) RNA polymerase, mitochondrial (Mus musculus)"	
TCALIF_07684-PA	Chromosome_1	15536338	15539321	COASY Bifunctional coenzyme A synthase (Sus scrofa)	
TCALIF_08634-PA	Chromosome_1	13834783	13841311	"Akap10 A-kinase anchor protein 10, mitochondrial (Mus musculus)"	
TCALIF_08636-PA	Chromosome_1	13800988	13815860	Miro Mitochondrial Rho GTPase (Drosophila melanogaster)	
TCALIF_09392-PA	Chromosome_1	371222	372133	"Bdh1 D-beta-hydroxybutyrate dehydrogenase, mitochondrial (Mus musculus)"	
TCALIF_10240-PA	Chromosome_1	3819166	3819369	Cox6c Cytochrome c oxidase subunit 6C (Mus musculus)	Comp-IV
TCALIF_10735-PA	Chromosome_1	5591141	5592727	"MLYCD Malonyl-CoA decarboxylase, mitochondrial (Homo sapiens)"	
TCALIF_12158-PA	Chromosome_1	16429567	16432824	STARD3 StAR-related lipid transfer protein 3 (Homo sapiens)	
TCALIF_12572-PA	Chromosome_1	6859424	6863679	"LETM1 LETM1 and EF-hand domain-containing protein 1, mitochondrial (Gallus gallus)"	
TCALIF_12886-PA	Chromosome_1	11320186	11332437	"FeCh Ferrochelatase, mitochondrial (Drosophila melanogaster)"	
TCALIF_13330-PA	Chromosome_1	16346755	16347102	Tim14 Mitochondrial import inner membrane translocase subunit TIM14 (Drosophila melanogaster)	
TCALIF_13342-PA	Chromosome_1	2746151	2750729	"Mmaa Methylmalonic aciduria type A homolog, mitochondrial (Mus musculus)"	
TCALIF_15094-PA	Chromosome_1	2818294	2827096	ATPAF2 ATP synthase mitochondrial F1 complex assembly factor 2 (Bos taurus)	
TCALIF_00500-PA	Chromosome_2	7308349	7309287	Fis1 Mitochondrial fission 1 protein (Mus musculus)	
TCALIF_00511-PA	Chromosome_2	7405016	7410002	"TXN2 Thioredoxin, mitochondrial (Bos taurus)"	
TCALIF_00516-PA	Chromosome_2	7419805	7421983	MIPEP Mitochondrial intermediate peptidase (Homo sapiens)	
TCALIF_00531-PA	Chromosome_2	7516074	7517461	"MRPL4 39S ribosomal protein L4, mitochondrial (Bos taurus)"	mRP
TCALIF_00541-PA	Chromosome_2	7593420	7594382	"metap1d Methionine aminopeptidase 1D, mitochondrial (Danio rerio)"	
TCALIF_00560-PA	Chromosome_2	7711781	7713490	"hibch 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial (Xenopus tropicalis)"	
TCALIF_00587-PA	Chromosome_2	7900528	7902264	"MRPS31 28S ribosomal protein S31, mitochondrial (Bos taurus)"	mRP
TCALIF_00588-PA	Chromosome_2	7903036	7911015	"AAEL009368 Lipoyl synthase, mitochondrial (Aedes aegypti)"	
TCALIF_00605-PA	Chromosome_2	8093166	8094044	"MRPL16 39S ribosomal protein L16, mitochondrial (Bos taurus)"	mRP
TCALIF_00647-PA	Chromosome_2	5671494	5672459	"mRpL19 39S ribosomal protein L19, mitochondrial (Drosophila melanogaster)"	mRP
